"source_id","publication_year","impact"
"https://openalex.org/S172573765",1999,0
"https://openalex.org/S62468778",2007,0
"https://openalex.org/S65740423",1997,0
"https://openalex.org/S53533005",2004,0
"https://openalex.org/S61274580",1995,0
"https://openalex.org/S157620343",2008,0
"https://openalex.org/S9536269",2000,0
"https://openalex.org/S159512450",2010,0
"https://openalex.org/S122471516",1990,0
"https://openalex.org/S130611943",1990,0
"https://openalex.org/S60621485",2005,0
"https://openalex.org/S159512450",2004,NA
"https://openalex.org/S170339494",1999,0
"https://openalex.org/S4789869",2002,0
"https://openalex.org/S28964699",2006,0
"https://openalex.org/S196979320",2004,0
"https://openalex.org/S61274580",1978,0
"https://openalex.org/S159512450",2016,3.11502782931354
"https://openalex.org/S4789869",1974,0
"https://openalex.org/S9536269",1992,0
"https://openalex.org/S25059752",1998,0
"https://openalex.org/S4789869",1978,0
"https://openalex.org/S2735447094",2008,0
"https://openalex.org/S4306463708",2011,0
"https://openalex.org/S4789869",2013,2.06692160611855
"https://openalex.org/S181027741",1986,0
"https://openalex.org/S130611943",1997,0
"https://openalex.org/S22344484",2005,0
"https://openalex.org/S25370267",1994,0
"https://openalex.org/S130611943",1985,0
"https://openalex.org/S157620343",1967,0
"https://openalex.org/S2735447094",2009,0
"https://openalex.org/S191188855",2005,0
"https://openalex.org/S30525748",1998,0
"https://openalex.org/S130611943",1971,0
"https://openalex.org/S159512450",2008,0
"https://openalex.org/S172573765",2003,0
"https://openalex.org/S4210197683",2005,0
"https://openalex.org/S4306463805",2009,0
"https://openalex.org/S106822843",2013,4.08704253214639
"https://openalex.org/S53533005",2009,0
"https://openalex.org/S159512450",2006,0
"https://openalex.org/S82927919",1992,0
"https://openalex.org/S4210189887",2004,0
"https://openalex.org/S4210205351",1983,0
"https://openalex.org/S172573765",1997,0
"https://openalex.org/S122471516",1983,0
"https://openalex.org/S51211322",1991,0
"https://openalex.org/S98355519",2009,0
"https://openalex.org/S60621485",2007,0
"https://openalex.org/S122471516",2002,0
"https://openalex.org/S61274580",1993,0
"https://openalex.org/S122471516",1977,0
"https://openalex.org/S130611943",2003,0
"https://openalex.org/S28937869",2003,0
"https://openalex.org/S190989491",2010,0
"https://openalex.org/S49004918",2006,0
"https://openalex.org/S193359815",2010,0
"https://openalex.org/S168049282",2012,4.01825993555317
"https://openalex.org/S60621485",2006,0
"https://openalex.org/S125754415",2016,11.1467086355549
"https://openalex.org/S32314625",2007,0
"https://openalex.org/S2764360065",2014,2.42105263157895
"https://openalex.org/S53055215",2008,0
"https://openalex.org/S122471516",1965,0
"https://openalex.org/S90314269",1989,0
"https://openalex.org/S157620343",1979,0
"https://openalex.org/S60621485",2014,4.3125
"https://openalex.org/S4210178811",1969,0
"https://openalex.org/S98355519",2000,0
"https://openalex.org/S107976061",2007,0
"https://openalex.org/S2735447094",2014,2.68506493506493
"https://openalex.org/S14643628",2014,3.28155339805825
"https://openalex.org/S104241220",1986,0
"https://openalex.org/S146344",2014,4.59171597633136
"https://openalex.org/S60621485",2017,2.75757575757576
"https://openalex.org/S122290859",1993,0
"https://openalex.org/S26186134",1998,0
"https://openalex.org/S26186134",2015,4.33653846153846
"https://openalex.org/S193359815",2003,0
"https://openalex.org/S122471516",2020,1.03931203931204
"https://openalex.org/S98355519",2019,1.68674698795181
"https://openalex.org/S28964699",2015,3.1021021021021
"https://openalex.org/S191413112",2016,1.66666666666667
"https://openalex.org/S118419795",2014,2.22448979591837
"https://openalex.org/S188481820",2001,0
"https://openalex.org/S190552063",2006,0
"https://openalex.org/S2739021930",2016,3.98275862068966
"https://openalex.org/S143967217",2020,2.62121212121212
"https://openalex.org/S204183829",2008,0
"https://openalex.org/S190552063",2008,0
"https://openalex.org/S2764360065",2015,0.941176470588235
"https://openalex.org/S9536269",1998,0
"https://openalex.org/S157620343",1997,0
"https://openalex.org/S191188855",2004,0
"https://openalex.org/S157620343",1966,0
"https://openalex.org/S141683002",2001,0
"https://openalex.org/S176007004",1987,0
"https://openalex.org/S172573765",1995,0
"https://openalex.org/S157620343",1973,0
"https://openalex.org/S157620343",1985,0
"https://openalex.org/S106822843",2014,4.25205761316872
"https://openalex.org/S177391433",2005,0
"https://openalex.org/S114289926",2006,0
"https://openalex.org/S4306401843",2004,0
"https://openalex.org/S95650557",1990,0
"https://openalex.org/S190552063",2010,0
"https://openalex.org/S170339494",2002,0
"https://openalex.org/S122471516",2011,0
"https://openalex.org/S28964699",2007,0
"https://openalex.org/S193359815",1990,0
"https://openalex.org/S143967217",2009,0
"https://openalex.org/S26186134",1982,0
"https://openalex.org/S22344484",2007,0
"https://openalex.org/S2735447094",2020,3.64473684210526
"https://openalex.org/S2530642067",2017,1.74074074074074
"https://openalex.org/S98355519",2003,0
"https://openalex.org/S6142729",2013,3.61063829787234
"https://openalex.org/S131591925",2009,0
"https://openalex.org/S98355519",2018,2.81818181818182
"https://openalex.org/S159512450",2007,0
"https://openalex.org/S30525748",2008,0
"https://openalex.org/S4306463230",1979,0
"https://openalex.org/S4306463952",2002,0
"https://openalex.org/S4210210660",2014,0.416666666666667
"https://openalex.org/S118419795",1996,0
"https://openalex.org/S20605092",2016,4.55108359133127
"https://openalex.org/S103377564",2007,0
"https://openalex.org/S190552063",2018,0.854838709677419
"https://openalex.org/S4789869",1995,0
"https://openalex.org/S170339494",2012,3.17906336088154
"https://openalex.org/S96897161",2016,0.511363636363636
"https://openalex.org/S161221444",2002,NA
"https://openalex.org/S130611943",2018,1.77695167286245
"https://openalex.org/S4210224848",2018,NA
"https://openalex.org/S4210224752",2023,3.12698412698413
"https://openalex.org/S2735447094",2021,7.752
"https://openalex.org/S207420867",2012,1.56976744186047
"https://openalex.org/S191117624",2009,0
"https://openalex.org/S98355519",2021,3.69230769230769
"https://openalex.org/S190552063",2016,0.547169811320755
"https://openalex.org/S123043354",2022,1.79487179487179
"https://openalex.org/S107976061",2012,0.133333333333333
"https://openalex.org/S2764633781",2014,0.257142857142857
"https://openalex.org/S183165437",1994,0
"https://openalex.org/S122471516",1976,0
"https://openalex.org/S4789869",1999,0
"https://openalex.org/S181883320",1999,0
"https://openalex.org/S44706263",1998,0
"https://openalex.org/S150314616",2004,0
"https://openalex.org/S181883320",1997,0
"https://openalex.org/S17740374",2001,0
"https://openalex.org/S157620343",1969,0
"https://openalex.org/S157620343",2007,0
"https://openalex.org/S119074828",2000,0
"https://openalex.org/S180657665",2009,0
"https://openalex.org/S4789869",1992,0
"https://openalex.org/S118419795",2017,2.02564102564103
"https://openalex.org/S4306463708",2009,0
"https://openalex.org/S14583120",2012,3.50884955752212
"https://openalex.org/S100920005",2008,0
"https://openalex.org/S79233773",2016,2.95165394402036
"https://openalex.org/S60621485",2019,5.13157894736842
"https://openalex.org/S4210198833",2016,NA
"https://openalex.org/S4210206211",2016,0.169811320754717
"https://openalex.org/S4210210660",2018,0.306122448979592
"https://openalex.org/S157620343",1971,0
"https://openalex.org/S168049282",1998,0
"https://openalex.org/S104241220",1977,0
"https://openalex.org/S44706263",1988,0
"https://openalex.org/S122471516",2005,0
"https://openalex.org/S16390937",1974,0
"https://openalex.org/S118419795",1999,0
"https://openalex.org/S25059752",2003,0
"https://openalex.org/S181883320",2000,0
"https://openalex.org/S77333486",2008,0
"https://openalex.org/S161743634",1985,0
"https://openalex.org/S106822843",2012,4.0484668644906
"https://openalex.org/S177222959",2007,0
"https://openalex.org/S173252385",2015,2.05555555555556
"https://openalex.org/S158932249",2015,1.19230769230769
"https://openalex.org/S4306463659",2016,1
"https://openalex.org/S2898160451",2016,0.26530612244898
"https://openalex.org/S157460402",2011,0
"https://openalex.org/S30045969",2008,0
"https://openalex.org/S98952145",2002,0
"https://openalex.org/S4306463230",2015,1.0625
"https://openalex.org/S118419795",2006,0
"https://openalex.org/S4306463937",2012,1.66666666666667
"https://openalex.org/S4210221231",2021,NA
"https://openalex.org/S159512450",2004,NA
"https://openalex.org/S161221444",2002,NA
"https://openalex.org/S4210224848",2018,NA
"https://openalex.org/S4210198833",2016,NA
"https://openalex.org/S4210221231",2021,NA
"https://openalex.org/S202381698",2014,4.31263707851144
"https://openalex.org/S60621485",2018,3.48571428571429
"https://openalex.org/S9536269",2021,4.79120879120879
"https://openalex.org/S46746144",2012,0.268518518518519
"https://openalex.org/S61028752",2013,0.311475409836066
"https://openalex.org/S191413112",2017,1.54545454545455
"https://openalex.org/S122471516",1971,0
"https://openalex.org/S59311786",1999,0
"https://openalex.org/S157620343",1974,0
"https://openalex.org/S129275725",2001,0
"https://openalex.org/S28964699",2003,0
"https://openalex.org/S9536269",1995,0
"https://openalex.org/S104241220",1976,NA
"https://openalex.org/S143967217",2010,0
"https://openalex.org/S118419795",2005,0
"https://openalex.org/S9536269",2006,0
"https://openalex.org/S73400788",1996,0
"https://openalex.org/S2736409588",2015,10.2083333333333
"https://openalex.org/S99707617",2005,0
"https://openalex.org/S4210171723",2016,0.815602836879433
"https://openalex.org/S20605092",2011,0
"https://openalex.org/S4210170888",2004,NA
"https://openalex.org/S4789869",2017,1.09041980624327
"https://openalex.org/S191413112",2020,1.66666666666667
"https://openalex.org/S61446109",1968,0
"https://openalex.org/S81521204",1993,0
"https://openalex.org/S4210199992",1967,0
"https://openalex.org/S89717723",2006,0
"https://openalex.org/S107889856",2023,1.87628865979381
"https://openalex.org/S60621485",1995,0
"https://openalex.org/S4306463230",1976,0
"https://openalex.org/S193359815",2022,1.62626262626263
"https://openalex.org/S99517592",2023,5.84509466437177
"https://openalex.org/S26186134",2025,2.65
"https://openalex.org/S44706263",1997,0
"https://openalex.org/S60621485",1998,0
"https://openalex.org/S2764493452",2013,NA
"https://openalex.org/S81521204",2002,0
"https://openalex.org/S195900089",2002,0
"https://openalex.org/S158932249",2006,0
"https://openalex.org/S202381698",2015,3.93489468024543
"https://openalex.org/S4306462995",2020,0.435523114355231
"https://openalex.org/S130611943",1975,0
"https://openalex.org/S4306463045",2022,0
"https://openalex.org/S143967217",2023,2.75925925925926
"https://openalex.org/S57599369",2024,0.791666666666667
"https://openalex.org/S60621485",2025,4.52941176470588
"https://openalex.org/S81521204",1984,0
"https://openalex.org/S80146597",1984,0
"https://openalex.org/S69429964",1978,0
"https://openalex.org/S959787170",1984,0
"https://openalex.org/S163587207",2002,0
"https://openalex.org/S104241220",1987,0
"https://openalex.org/S19523265",1988,0
"https://openalex.org/S61274580",2001,0
"https://openalex.org/S130611943",1964,0
"https://openalex.org/S4210202784",1980,0
"https://openalex.org/S205050996",1968,0
"https://openalex.org/S131591925",2004,0
"https://openalex.org/S118554956",2003,0
"https://openalex.org/S4789869",1984,0
"https://openalex.org/S4789869",2011,0
"https://openalex.org/S26186134",1977,NA
"https://openalex.org/S143668711",1972,0
"https://openalex.org/S4393912450",1967,0
"https://openalex.org/S4306463708",2014,0.813084112149533
"https://openalex.org/S4789869",2018,1.30102040816327
"https://openalex.org/S4210182430",2020,NA
"https://openalex.org/S4306464262",2010,NA
"https://openalex.org/S4210202285",1995,0
"https://openalex.org/S16390937",1975,0
"https://openalex.org/S4210235805",1941,NA
"https://openalex.org/S102399824",2013,1.00744416873449
"https://openalex.org/S4789869",2016,0.977491961414791
"https://openalex.org/S193359815",2018,1.30722891566265
"https://openalex.org/S3880285",1996,0
"https://openalex.org/S4789869",1989,0
"https://openalex.org/S2737630693",1969,NA
"https://openalex.org/S2764491778",2018,0.261707988980716
"https://openalex.org/S109232058",2019,1.47448979591837
"https://openalex.org/S4306463868",2008,NA
"https://openalex.org/S4306463708",2019,0.5
"https://openalex.org/S26186134",2022,3.29801324503311
"https://openalex.org/S134094273",2009,0
"https://openalex.org/S959848396",2000,0
"https://openalex.org/S4306400786",2014,0.724853499693296
"https://openalex.org/S102399824",2015,1.25078369905956
"https://openalex.org/S4789869",2015,1.02937420178799
"https://openalex.org/S30045969",2007,0
"https://openalex.org/S4393912450",1968,0
"https://openalex.org/S4306400786",2016,0.677211125756193
"https://openalex.org/S2764945993",2016,0.186046511627907
"https://openalex.org/S4306463708",2018,0.858333333333333
"https://openalex.org/S9536269",2018,2.46666666666667
"https://openalex.org/S4210198833",2019,2.74657534246575
"https://openalex.org/S4306402562",2019,0.0711150131694469
"https://openalex.org/S122471516",2021,1.04888888888889
"https://openalex.org/S143967217",2021,5.17460317460317
"https://openalex.org/S4306463659",2020,0
"https://openalex.org/S9536269",2022,3.35632183908046
"https://openalex.org/S190552063",2023,1.2375
"https://openalex.org/S104241220",1979,0
"https://openalex.org/S4789869",2019,1.97364771151179
"https://openalex.org/S4363604084",2007,0
"https://openalex.org/S130611943",1967,0
"https://openalex.org/S4363604142",2020,NA
"https://openalex.org/S4306524878",1992,0
"https://openalex.org/S4363604084",1996,NA
"https://openalex.org/S4306400393",1972,0
"https://openalex.org/S105746325",1962,0
"https://openalex.org/S134644764",1963,0
"https://openalex.org/S105746325",1963,0
"https://openalex.org/S4306401157",2013,3.46395829588352
"https://openalex.org/S4789869",2012,1.8955087076077
"https://openalex.org/S40844199",2003,0
"https://openalex.org/S4363604084",1995,NA
"https://openalex.org/S190552063",2020,1.09677419354839
"https://openalex.org/S4306400393",1971,0
"https://openalex.org/S4377196422",1982,NA
"https://openalex.org/S3880285",1989,0
"https://openalex.org/S4789869",1990,0
"https://openalex.org/S187169112",1946,0
"https://openalex.org/S4210216238",1948,0
"https://openalex.org/S4363604084",1966,NA
"https://openalex.org/S112646816",2001,0
"https://openalex.org/S4306402562",2007,0
"https://openalex.org/S4306402562",2011,0
"https://openalex.org/S4306400393",1967,0
"https://openalex.org/S4377196880",1978,NA
"https://openalex.org/S107976061",2008,0
"https://openalex.org/S4306402562",2015,0.103330068560235
"https://openalex.org/S59248909",2004,0
"https://openalex.org/S96897161",2009,0
"https://openalex.org/S48492747",2003,0
"https://openalex.org/S4789869",2009,0
"https://openalex.org/S4210228976",1977,0
"https://openalex.org/S4306521176",2012,0.370689655172414
"https://openalex.org/S193359815",2011,0
"https://openalex.org/S74056291",2015,2.08823529411765
"https://openalex.org/S187169112",1949,0
"https://openalex.org/S176974017",1947,0
"https://openalex.org/S187169112",1941,0
"https://openalex.org/S7407051518",2010,0
"https://openalex.org/S4306401293",2016,0.063345947737694
"https://openalex.org/S933883312",2015,0.648148148148148
"https://openalex.org/S176007004",1974,0
"https://openalex.org/S122471516",1972,0
"https://openalex.org/S122471516",1975,0
"https://openalex.org/S4306463079",2015,NA
"https://openalex.org/S122471516",2016,1.00263852242744
"https://openalex.org/S190989491",2011,0
"https://openalex.org/S67069294",2006,0
"https://openalex.org/S110701829",2010,0
"https://openalex.org/S110701829",2016,0.0526315789473684
"https://openalex.org/S4210209665",2017,1.16666666666667
"https://openalex.org/S2739210528",2009,0
"https://openalex.org/S2737630693",2017,0.0294117647058824
"https://openalex.org/S30525748",2004,0
"https://openalex.org/S4210216238",1947,0
"https://openalex.org/S130611943",1986,0
"https://openalex.org/S4306402562",2009,0
"https://openalex.org/S72851247",1942,0
"https://openalex.org/S112646816",2018,1.50413206759858
"https://openalex.org/S89548376",2019,0.547619047619048
"https://openalex.org/S4377196400",1982,0
"https://openalex.org/S2739210528",2019,0
"https://openalex.org/S187169112",1943,0
"https://openalex.org/S43643205",1967,0
"https://openalex.org/S4306464233",2020,NA
"https://openalex.org/S187169112",1948,0
"https://openalex.org/S4306533896",2017,0.166666666666667
"https://openalex.org/S69220080",2021,0.973214285714286
"https://openalex.org/S4306462995",2021,0.375903614457831
"https://openalex.org/S4210188446",2020,0.543478260869565
"https://openalex.org/S4306521176",2000,0
"https://openalex.org/S4406923043",2003,0
"https://openalex.org/S193359815",2021,2.3625730994152
"https://openalex.org/S4363604084",1984,NA
"https://openalex.org/S4363604084",2014,0.857142857142857
"https://openalex.org/S4306463230",2001,0
"https://openalex.org/S4363604084",1975,NA
"https://openalex.org/S72851247",1948,0
"https://openalex.org/S44404461",1970,0
"https://openalex.org/S4306524922",2012,0.727272727272727
"https://openalex.org/S187169112",1973,0
"https://openalex.org/S4306524878",2009,0
"https://openalex.org/S187169112",1972,0
"https://openalex.org/S187169112",1971,0
"https://openalex.org/S4306524922",2008,0
"https://openalex.org/S4306400393",2007,0
"https://openalex.org/S4210194355",2022,NA
"https://openalex.org/S130611943",2023,1.61889250814332
"https://openalex.org/S193359815",2023,1.58510638297872
"https://openalex.org/S4210221231",2023,NA
"https://openalex.org/S4306463708",2023,0.518518518518518
"https://openalex.org/S2735557189",2023,0.109252254873436
"https://openalex.org/S4210171207",2023,NA
"https://openalex.org/S4306463045",2024,6
"https://openalex.org/S4306463223",2025,0
"https://openalex.org/S4306462838",2017,0.333333333333333
"https://openalex.org/S157620343",2025,7.97435897435897
"https://openalex.org/S122471516",2025,1.41637010676157
"https://openalex.org/S57027881",2025,0.956140350877193
"https://openalex.org/S2764729569",2001,0
"https://openalex.org/S4306501211",2004,NA
"https://openalex.org/S2764729569",1998,NA
"https://openalex.org/S4306463937",1993,NA
